id,title,authors,year,start_page,end_page,subject,filename,editors,doi,isbn,issn,proceeding_title,series_title,publisher,publication_place,conference_date,conference_location,session_title,publication_type,language,peer_review_status,label_forschungssoftware,label_forschungssoftware_erklärung,label_software_evaluation,label_software_evaluation_erklärung,label_lehr_lern_setting,label_lehr_lern_setting_erklärung,label_prozess_paradigma,label_prozess_paradigma_erklärung,label_lernende_paradigma,label_lernende_paradigma_erklärung,label_design_paradigma,label_design_paradigma_erklärung,label_bildungstechnologie_paradigma,label_bildungstechnologie_paradigma_erklärung
1,Gibt es eine Net Generation? Widerlegung einer Mystifizierung,"Schulmeister, Rolf",2008,15.0,28.0,,15.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation beschreibt keine eigens entwickelte Forschungssoftware, sondern analysiert bestehende Konzepte und Studien.",0,"Es wird keine Software evaluiert, sondern die Thesen zur 'Net Generation' kritisch hinterfragt.",1.0,Die Publikation diskutiert die Implikationen der 'Net Generation'-These für die Lehre an Hochschulen und somit ein konkretes Lehr-Lern-Setting.,0.0,"Die Vereinfachung von Lehr-Lern-Prozessen durch Software steht nicht im Fokus. Es geht um die grundsätzliche Frage, ob sich die Lehre an eine vermeintlich veränderte Generation anpassen muss.",0.0,Es werden keine direkten Effekte auf die Lernenden gemessen oder untersucht. Die Publikation analysiert die Annahmen über die Lernenden der 'Net Generation'.,-1.0,Die Entwicklung neuer Software steht nicht im Mittelpunkt der Arbeit.,1.0,"Die Arbeit diskutiert implizit den Einsatz von digitalen Technologien (Internet, Computer) im Bildungskontext, auch wenn diese nicht als eigens entwickelte Forschungssoftware gelten."
2,Orchestrierung von Web 2.0-Anwendungen im Kontext hochschulischer Lehr-/Lernprozesse,"Carell, Angela; Schaller, Isabel",2008,41.0,52.0,,41.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,Die Publikation beschreibt keine eigens entwickelte Forschungssoftware im Sinne von Quellcode oder Algorithmen. Es werden existierende Web 2.0 Anwendungen genutzt.,1,"Die Autoren evaluieren den Einsatz verschiedener Web 2.0 Anwendungen im Kontext eines Lehr-/Lernszenarios, auch wenn die Evaluation qualitativ ist.",1.0,Die Publikation beschreibt ein konkretes Lehr-/Lernszenario in einer Praxiswoche an der Universität.,1.0,"Die Orchestrierung der Web 2.0 Anwendungen zielt darauf ab, den Lehr- und Lernprozess zu vereinfachen und die Zusammenarbeit zu unterstützen. Die Autoren diskutieren, wie die Anwendungen den Prozess beeinflussen.",0.0,"Obwohl die Auswirkungen auf die Studierenden thematisiert werden, liegt der Fokus nicht auf einer systematischen Messung von Lernerfolgen oder motivationalen Effekten. Die Evaluation ist eher deskriptiv.",-1.0,Die Publikation befasst sich nicht mit der Entwicklung neuer Software. Es werden lediglich existierende Anwendungen kombiniert und evaluiert.,1.0,"Die Publikation setzt Web 2.0 Anwendungen ein, die als allgemeine Bildungstechnologien gelten und nicht eigens für Forschungszwecke entwickelt wurden."
3,E-Learning im Second Life – Eine Veranstaltung „IT-Projektmanagement“,"Voß, Sarah; Vuong, The-Anh; Krömker, Detlef; Müller, Ralph",2008,53.0,64.0,,53.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation beschreibt den Einsatz von Second Life, aber es wird keine eigens entwickelte Software oder ein Algorithmus vorgestellt, der zu Forschungszwecken erstellt wurde.",1,Die Studierenden wurden bezüglich der Eignung von Second Life als Lernort befragt und die Daten statistisch ausgewertet. Dies stellt eine Evaluation der Software Second Life im Kontext des Lehr-Lern-Settings dar.,1.0,"Die Publikation beschreibt den Einsatz von Second Life im Rahmen der Lehrveranstaltung ""Einführung in das IT-Projektmanagement"".",0.0,"Die Vereinfachung des Lehr-Lern-Prozesses durch Second Life wird erwähnt, steht aber nicht im Fokus der Untersuchung. Es geht primär um die Auswirkungen auf die Studierenden.",1.0,"Die Studierenden wurden explizit bezüglich ihrer Erfahrungen mit Second Life und dessen Eignung als Lernort befragt. Die Daten wurden statistisch ausgewertet, was auf ein Interesse an den Effekten auf die Lernenden hindeutet.",-1.0,Die Publikation befasst sich nicht mit der Entwicklung neuer Software. Second Life wird als bestehende Plattform eingesetzt.,1.0,"Second Life wird als eine allgemeine Bildungstechnologie eingesetzt, die nicht eigens für die Forschungszwecke entwickelt wurde. Der Fokus liegt auf der Anwendung dieser Technologie im Bildungskontext."
4,eLearning als Teil einer serviceorientierten Hochschulinfrastruktur,"Graf, Stephan; Gergintchev, Ivan; Pätzold, Sebastian; Rathmayer, Sabine",2008,65.0,76.0,,65.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation beschreibt die Integration verschiedener Systeme, aber es wird keine eigens entwickelte Forschungssoftware im Sinne der Definition vorgestellt.",0,"Es wird zwar über die Nutzung von Software (CLIX, HIS-POS, UnivIS) berichtet, aber keine systematische Evaluation dieser Software durchgeführt.",1.0,Die Publikation behandelt die Integration von eLearning in die Hochschulinfrastruktur und beschreibt konkrete Anwendungsfälle in Lehrveranstaltungen (z.B. Fallbasiertes Lernen in der Medizin).,1.0,"Ein zentraler Fokus der Publikation liegt auf der Vereinfachung und Verbesserung von Prozessen im Campus Management und der Integration von Systemen, um die Organisation der Lehre zu erleichtern.",0.0,Die Auswirkungen der beschriebenen Integration auf die Lernenden werden nicht explizit gemessen oder untersucht. Es wird lediglich die Verfügbarkeit von Lernmaterialien und die Teilnahme an Kursen erwähnt.,0.0,Die Publikation konzentriert sich auf die Integration bestehender Systeme und nicht auf die Entwicklung neuer Software.,1.0,"Die Publikation behandelt den Einsatz von etablierten Bildungstechnologien wie Learning Management Systemen (CLIX) und Campus Management Systemen (HIS-POS, UnivIS), die nicht eigens für Forschungszwecke entwickelt wurden."
5,Dienste-basierte Kopplung von virtueller und Präsenzlehre,"Lehsten, Philipp; Thiele, Andreas; Zilz, René; Dressler, Enrico; Zender, Raphael; Lucke, Ulrike; Tavangarian, Djamshid",2008,77.0,88.0,,77.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Autoren beschreiben die Entwicklung eines Systems zur Kopplung verschiedener eLearning-Umgebungen, was als Forschungssoftware im Sinne der Definition angesehen werden kann.",1,"Die Autoren beschreiben ein Evaluationsszenario, in dem das entwickelte System im Rahmen einer Lehrveranstaltung getestet wurde. Dies deutet auf eine Evaluation der Software hin.",1.0,"Die Publikation beschreibt die Kopplung von Lehrveranstaltungen in einer Medienwerkstatt mit virtuellen Lernumgebungen und Stud.IP, was ein konkretes Lehr-Lern-Setting darstellt.",1.0,"Die Publikation fokussiert stark auf die Vereinfachung der Kopplung verschiedener Lernumgebungen und die nahtlose Verzahnung von virtueller und Präsenzlehre, was den Lehr-Lern-Prozess vereinfachen soll.",0.0,"Obwohl die Autoren die Vorteile für Lehrende und Lernende erwähnen, liegt der Fokus nicht auf der Messung von Effekten auf die Lernenden (z.B. Wissenserwerb, Motivation).",1.0,"Die Publikation beschreibt die Entwicklung eines Systems zur Kopplung verschiedener eLearning-Umgebungen, was die Entwicklung neuer Funktionalitäten impliziert.",1.0,"Die Publikation setzt verschiedene Bildungstechnologien ein (Second Life, Stud.IP, Streaming-Technologien), die nicht eigens für den Forschungszweck entwickelt wurden, sondern bereits existierende Technologien sind."
6,"Service-basierte Integration dynamischer, interaktiver Medien in Lernplattformen","Gläser, Martin; Zender, Raphael; Lucke, Ulrike; Tavangarian, Djamshid",2008,89.0,100.0,,89.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Autoren entwickeln ein System zur Integration von Vorlesungsmitschnitten in eine Lernplattform, was als Forschungssoftware im Sinne der Definition angesehen werden kann.",1,Die Autoren beschreiben die Realisierung und den Einsatz des Systems und implizieren damit eine Evaluation der Software.,1.0,Die Publikation behandelt explizit die Integration der Software in ein Hochschullehre-Szenario (Lernplattform Stud.IP).,1.0,"Die Arbeit fokussiert stark auf die Vereinfachung der Prozesse zur Bereitstellung und Nutzung von Lernmaterialien. Die Service-basierte Architektur zielt darauf ab, manuelle Schritte zu umgehen und die Kopplung verschiedener Systeme zu verbessern.",0.0,"Es werden keine direkten Effekte auf die Lernenden gemessen oder explizit untersucht. Die Auswirkungen auf den Lernprozess werden indirekt über die Prozessverbesserungen angenommen, aber nicht evaluiert.",1.0,"Die Autoren entwickeln und implementieren ein neues System zur Integration von Medien, was eine Design-orientierte Forschung darstellt.",1.0,"Es werden verschiedene Bildungstechnologien wie Lernplattformen, Streaming-Server und Web Services eingesetzt, die nicht eigens für diesen Forschungszweck entwickelt wurden."
7,"Theatrum Machinarum Generale – Schauplatz der digitalen Wissensorganisation, Archivierung und Erschließung","Schulte, Jonas; Hampel, Thorsten; Gießmann, Marco;
Ferber, Ferdinand; Stark, Konrad",2008,101.0,112.0,,101.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Autoren stellen ein 'Wasabi-Framework' vor und beschreiben die Entwicklung einer serviceorientierten Architektur, was als Forschungssoftware im Sinne der Definition angesehen werden kann.",0,"Es wird zwar die Funktionalität des Wasabi-Frameworks beschrieben, aber keine systematische Evaluation der Software selbst durchgeführt. Die Integration wird eher als Konzept dargestellt.",1.0,"Die Publikation beschreibt die Integration in eine 'hochschulweite Lerninfrastruktur' und bezieht sich auf 'Aus- und Weiterbildung, Forschung und Industrie', was ein konkretes Lehr-Lern-Setting impliziert.",1.0,Die Arbeit fokussiert stark auf die Verbesserung der Organisation und Integration von Forschung und Lehre durch die serviceorientierte Architektur. Die Vereinfachung von Prozessen steht im Vordergrund.,-1.0,"Es gibt keine Hinweise darauf, dass die Effekte auf die Lernenden (z.B. Lernerfolg, Motivation) gemessen oder explizit betrachtet werden.",1.0,Die Entwicklung des Wasabi-Frameworks und der serviceorientierten Architektur steht im Mittelpunkt der Arbeit. Es wird neue Software entwickelt und implementiert.,0.0,"Obwohl digitale Bibliotheken und E-Learning-Infrastrukturen erwähnt werden, liegt der Fokus auf der eigens entwickelten Forschungssoftware und deren Integration, nicht auf der generellen Anwendung von Bildungstechnologien."
8,Einsatz persönlicher Wissensnetze im Ressourcen-basierten Lernen,"Böhnstedt, Doreen; Scholl, Philipp; Benz, Bastian; Rensing, Christoph; Steinmetz, Ralf; Schmitz, Bernhard",2008,113.0,124.0,,113.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Autoren entwickeln ein 'erweiterbares Wissensnetz', das als Software-Prototyp implementiert und evaluiert wird. Dies erfüllt die Definition von Forschungssoftware.",1,"Der Prototyp des Wissensnetzes wird mit Studierenden evaluiert, und es werden Daten zur Nutzung und Akzeptanz gesammelt.",1.0,"Die Studie findet im Kontext einer universitären Rechercheaufgabe statt, was ein konkretes Lehr-Lern-Setting darstellt.",0.0,"Die Arbeit fokussiert sich primär auf die Unterstützung des Lernenden und die Organisation von Wissen, jedoch wird die Vereinfachung des Lehr-Lern-Prozesses als solche nicht explizit evaluiert.",1.0,"Es wird ein Wissenstest vor und nach der Nutzung des Prototyps durchgeführt, um die Effekte auf den Wissenserwerb der Lernenden zu messen. Die Evaluation fokussiert sich auf die kognitiven Auswirkungen.",0.0,"Die Entwicklung des Wissensnetzes steht nicht im Vordergrund, sondern die Evaluation und Anwendung eines bereits existierenden Konzepts. Es wird zwar ein Prototyp entwickelt, aber die Innovation liegt eher in der Anwendung als in der grundlegenden Softwareentwicklung.",0.0,"Obwohl Webtechnologien verwendet werden, liegt der Fokus auf der eigens entwickelten Software und nicht auf der generellen Anwendung von Bildungstechnologien."
9,Einsatz und Evaluation eines Zielmanagement-Werkzeugs bei der selbstregulierten Internet-Recherche,"Scholl, Philipp; Benz, Bastian; Böhnstedt, Doreen; Rensing, Christoph; Steinmetz, Ralf; Schmitz, Bernhard",2008,125.0,136.0,,125.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Autoren haben ein Zielmanagement-Werkzeug entwickelt, das als Erweiterung für den Firefox-Browser implementiert wurde. Dies stellt Forschungssoftware dar.",1,"Die Autoren stellen eine Evaluationsstudie vor, in der die Wirkung des entwickelten Werkzeugs untersucht wird.",1.0,"Die Publikation beschreibt den Einsatz des Werkzeugs im Kontext von Internet-Recherche, also einem konkreten Lehr-Lern-Setting.",0.0,"Die Publikation fokussiert sich primär auf die Auswirkungen des Werkzeugs auf die Lernenden und weniger auf die Vereinfachung des Lehr-Lern-Prozesses an sich. Die Organisation des Lernprozesses wird zwar thematisiert, ist aber nicht der Hauptfokus der Evaluation.",1.0,"Die Evaluation untersucht die Auswirkungen des Werkzeugs auf die Lernenden, insbesondere hinsichtlich der Motivation und des Browsing-Verhaltens. Es werden auch Korrelationen zwischen der Nutzung des Werkzeugs und der Suchkompetenz untersucht.",0.0,"Obwohl das Werkzeug neu entwickelt wurde, steht die Entwicklung selbst nicht im Vordergrund der Publikation. Der Fokus liegt auf der Evaluation des bestehenden Werkzeugs.",0.0,Die Publikation konzentriert sich auf die entwickelte Software und nicht auf die allgemeine Anwendung von Bildungstechnologien wie z.B. Wikipedia oder Firefox.
10,Einsatz eines webbasierten Mehrautorensystems in der Lehre - ein Erfahrungsbericht,"Hu, Bo; Gollin, Klaus",2008,137.0,148.0,,137.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt ein webbasiertes Mehrautorensystem, das als Forschungsobjekt dient und weiterentwickelt wird.",1,"Die Autoren analysieren die Nutzung des Systems anhand von Logging- und Versionierungsdaten, was eine Evaluation darstellt.",1.0,"Die Publikation beschreibt den Einsatz des Systems im Kontext von Diplomarbeiten und Fallstudien, also in einem konkreten Lehr-Lern-Setting.",1.0,Die Publikation fokussiert auf die Vereinfachung des Erstellungsprozesses von Arbeiten und die Überwachung des Lernprozesses durch das System. Die Organisation des Lernprozesses wird durch das System erleichtert.,0.0,"Es werden zwar Nutzungsmuster der Studierenden analysiert, aber keine direkten Effekte auf den Lernerfolg (z.B. Wissenserwerb, Motivation) gemessen oder explizit untersucht.",0.0,"Die Entwicklung des Systems wird zwar erwähnt, steht aber nicht im Vordergrund. Es geht primär um die Evaluation des bestehenden Systems.",0.0,"Obwohl ein webbasiertes System eingesetzt wird, wird keine allgemeine Bildungstechnologie im Sinne einer etablierten Technologie (z.B. LMS) evaluiert, sondern die eigens entwickelte Forschungssoftware."
