id,title,authors,year,start_page,end_page,subject,filename,editors,doi,isbn,issn,proceeding_title,series_title,publisher,publication_place,conference_date,conference_location,session_title,publication_type,language,peer_review_status,label_forschungssoftware,label_forschungssoftware_erklärung,label_software_evaluation,label_software_evaluation_erklärung,label_lehr_lern_setting,label_lehr_lern_setting_erklärung,label_prozess_paradigma,label_prozess_paradigma_erklärung,label_lernende_paradigma,label_lernende_paradigma_erklärung,label_design_paradigma,label_design_paradigma_erklärung,label_bildungstechnologie_paradigma,label_bildungstechnologie_paradigma_erklärung
1,Gibt es eine Net Generation? Widerlegung einer Mystifizierung,"Schulmeister, Rolf",2008,15.0,28.0,,15.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,Die Publikation enthält keine Forschungssoftware.,0,Die Publikation evaluiert keine Forschungssoftware.,1,"Die Publikation geht um ein konkretes Lehr-Lern-Setting, nämlich die Frage, ob es eine Net Generation gibt und welche Auswirkungen dies auf die Lehre haben könnte.",0,Die Publikation konzentriert sich nicht auf die Vereinfachung des Lehr-Lern-Prozesses durch Forschungssoftware.,1,"Die Publikation untersucht die Effekte der Mediennutzung auf die Lernenden, insbesondere ihre kognitiven, motivationalen und affektiven Wirkungen.",-1,Die Publikation entwickelt keine neue Forschungssoftware.,1,"Die Publikation verwendet allgemeine Bildungstechnologie, wie z.B. das Internet und Computer, um die Mediennutzung und ihre Auswirkungen auf die Lernenden zu untersuchen."
2,Orchestrierung von Web 2.0-Anwendungen im Kontext hochschulischer Lehr-/Lernprozesse,"Carell, Angela; Schaller, Isabel",2008,41.0,52.0,,41.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation enthält keine Forschungssoftware im Sinne von Quellcode-Dateien, Algorithmen, Skripten, rechnergestützten Arbeitsabläufen oder ausführbaren Dateien, die zu einem Forschungszweck erstellt wurden.",0,"Die Publikation evaluiert nicht die Forschungssoftware selbst, sondern nutzt bestehende Web 2.0-Anwendungen in einem Lehr-Lern-Setting.",1,"Die Publikation geht um ein konkretes Lehr-Lern-Setting, nämlich die Nutzung von Web 2.0-Anwendungen in einer Präsenzlehre.",1,"Die Publikation vereinfacht den Lehr-Lern-Prozess durch die Nutzung von Web 2.0-Anwendungen, indem sie die Organisation und Gestaltung des Lehr-Lern-Settings erleichtert.",1,"Die Publikation misst die Effekte der Web 2.0-Anwendungen auf die Lernenden, indem sie ihre Erfahrungen und Lernerfahrungen während der Praxiswoche dokumentiert.",-1,"Die Publikation entwickelt keine neue Forschungssoftware selbst, sondern nutzt bestehende Web 2.0-Anwendungen.",1,"Die Publikation nutzt allgemeine Bildungstechnologie, nämlich Web 2.0-Anwendungen, die nicht eigens für einen konkreten Forschungszweck entwickelt wurden, sondern im Zuge einer gesellschaftlichen oder technologischen Entwicklung verfügbar geworden sind."
3,E-Learning im Second Life – Eine Veranstaltung „IT-Projektmanagement“,"Voß, Sarah; Vuong, The-Anh; Krömker, Detlef; Müller, Ralph",2008,53.0,64.0,,53.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation beschreibt den Einsatz von Second Life in einem Lehr-Lern-Setting, aber es wird keine spezifische Forschungssoftware erstellt oder verwendet.",1,Die Publikation evaluiert den Einsatz von Second Life in einem Lehr-Lern-Setting und untersucht dessen Auswirkungen auf die Lernenden.,1,"Die Publikation beschreibt ein konkretes Lehr-Lern-Setting, nämlich den Einsatz von Second Life in einer Veranstaltung über IT-Projektmanagement.",1,"Die Publikation untersucht, wie Second Life den Lehr-Lern-Prozess vereinfacht und verbessert, indem es beispielsweise die Kommunikation und die Zusammenarbeit zwischen den Lernenden erleichtert.",1,"Die Publikation untersucht die Auswirkungen von Second Life auf die Lernenden, beispielsweise ihre Zufriedenheit und ihre Lernergebnisse.",-1,"Die Publikation beschreibt nicht die Entwicklung von Second Life, sondern dessen Einsatz in einem Lehr-Lern-Setting.",1,"Die Publikation verwendet Second Life als allgemeine Bildungstechnologie, die nicht eigens für einen konkreten Forschungszweck entwickelt wurde, sondern im Zuge einer gesellschaftlichen oder technologischen Entwicklung verfügbar geworden ist."
4,eLearning als Teil einer serviceorientierten Hochschulinfrastruktur,"Graf, Stephan; Gergintchev, Ivan; Pätzold, Sebastian; Rathmayer, Sabine",2008,65.0,76.0,,65.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation beschreibt die Integration von eLearning in die IuK Infrastrukturen an deutschen Hochschulen, aber es wird keine spezifische Forschungssoftware vorgestellt oder entwickelt.",0,"Die Publikation beschreibt die Integration von eLearning in die IuK Infrastrukturen an deutschen Hochschulen, aber es wird keine Evaluation von Forschungssoftware durchgeführt.",1,"Die Publikation beschreibt die Integration von eLearning in die IuK Infrastrukturen an deutschen Hochschulen, insbesondere an der TU München, und geht auf konkrete Lehr-Lern-Settings ein.",1,"Die Publikation beschreibt die Integration von eLearning in die IuK Infrastrukturen an deutschen Hochschulen und zeigt, wie die Organisation und Gestaltung des Lehr-Lern-Settings durch die Forschungssoftware erleichtert werden kann.",-1,"Die Publikation beschreibt die Integration von eLearning in die IuK Infrastrukturen an deutschen Hochschulen, aber es werden keine Effekte der Forschungssoftware auf die Lernenden gemessen oder diskutiert.",0,"Die Publikation beschreibt die Integration von eLearning in die IuK Infrastrukturen an deutschen Hochschulen, aber es wird keine neue Forschungssoftware entwickelt oder präsentiert.",1,"Die Publikation beschreibt die Integration von eLearning in die IuK Infrastrukturen an deutschen Hochschulen und zeigt, wie allgemeine Bildungstechnologien wie Learning Management Systeme (LMS) und Enterprise Service Bus (ESB) eingesetzt werden."
5,Dienste-basierte Kopplung von virtueller und Präsenzlehre,"Lehsten, Philipp; Thiele, Andreas; Zilz, René; Dressler, Enrico; Zender, Raphael; Lucke, Ulrike; Tavangarian, Djamshid",2008,77.0,88.0,,77.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung eines Prototyps, der eine Dienste-basierte Kopplung von virtueller und Präsenzlehre ermöglicht. Dieser Prototyp kann als Forschungssoftware betrachtet werden, da er speziell für einen Forschungszweck erstellt wurde.",1,Die Publikation evaluiert den Prototyp in einem spezifischen Lehr-Lern-Setting und diskutiert dessen Einsatzmöglichkeiten und Grenzen.,1,"Die Publikation geht auf ein konkretes Lehr-Lern-Setting ein, nämlich die Kopplung von virtueller und Präsenzlehre in einer Medienwerkstatt.",1,"Der Prototyp vereinfacht den Lehr-Lern-Prozess, indem er eine flexible Integration von synchronen und asynchronen Szenarien in verschiedene virtuelle Lernumgebungen ermöglicht.",0,"Die Publikation diskutiert die möglichen Auswirkungen des Prototyps auf die Lernenden, aber es werden keine spezifischen Messungen oder Evaluationsergebnisse präsentiert.",1,"Die Publikation beschreibt die Entwicklung des Prototyps und dessen Funktionalitäten, was auf ein designorientiertes Paradigma hinweist.",1,"Die Publikation verwendet allgemeine Bildungstechnologien wie Second Life und Stud.IP, die nicht speziell für einen Forschungszweck entwickelt wurden, sondern im Zuge einer gesellschaftlichen oder technologischen Entwicklung verfügbar geworden sind."
6,"Service-basierte Integration dynamischer, interaktiver Medien in Lernplattformen","Gläser, Martin; Zender, Raphael; Lucke, Ulrike; Tavangarian, Djamshid",2008,89.0,100.0,,89.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung eines Systems zur Integration von Vorlesungsmitschnitten in eine Lernplattform, was als Forschungssoftware im Sinne von Definition 1) gilt.",0,"Die Publikation beschreibt die Entwicklung und Umsetzung des Systems, aber es wird keine explizite Evaluation der Forschungssoftware durchgeführt.",1,"Die Publikation geht um ein konkretes Lehr-Lern-Setting, nämlich die Integration von Vorlesungsmitschnitten in eine Lernplattform.",1,"Die Publikation zeigt, wie das System den Lehr-Lern-Prozess durch die Vereinfachung organisatorischer Abläufe erleichtert, was ein prozessorientiertes Paradigma darstellt.",-1,"Die Publikation geht nicht auf die Effekte des Systems auf die Lernenden ein, was ein lernendenorientiertes Paradigma darstellen würde.",1,"Die Publikation beschreibt die Entwicklung eines neuen Systems, was ein designorientiertes Paradigma darstellt.",0,"Die Publikation verwendet zwar bestehende Technologien wie Web Services, aber die Anwendung dieser Technologien ist spezifisch für den Forschungszweck entwickelt worden, was ein bildungstechnologie-Paradigma nicht darstellt."
7,"Theatrum Machinarum Generale – Schauplatz der digitalen Wissensorganisation, Archivierung und Erschließung","Schulte, Jonas; Hampel, Thorsten; Gießmann, Marco;
Ferber, Ferdinand; Stark, Konrad",2008,101.0,112.0,,101.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung und Integration von Forschungssoftware, insbesondere des Wasabi-Frameworks, in ein Lehr-Lern-Setting.",0,"Die Publikation beschreibt die Entwicklung und Integration von Forschungssoftware, aber es wird keine explizite Evaluation der Software durchgeführt.",1,"Die Publikation beschreibt ein konkretes Lehr-Lern-Setting, nämlich die Integration von Forschungssoftware in ein Labor für Materialwissenschaften.",1,"Die Publikation beschreibt, wie die Forschungssoftware den Lehr-Lern-Prozess vereinfacht, indem sie die Organisation und Gestaltung des Lehr-Lern-Settings erleichtert.",0,"Die Publikation beschreibt nicht explizit die Effekte der Forschungssoftware auf die Lernenden, aber es wird angedeutet, dass die Software die Lernenden bei ihrer Arbeit unterstützen soll.",1,"Die Publikation beschreibt die Entwicklung von Forschungssoftware, insbesondere des Wasabi-Frameworks, und wie es in ein Lehr-Lern-Setting integriert werden kann.",0,"Die Publikation beschreibt die Entwicklung von Forschungssoftware, die speziell für einen konkreten Forschungszweck entwickelt wurde, und nicht eine allgemeine Bildungstechnologie."
8,Einsatz persönlicher Wissensnetze im Ressourcen-basierten Lernen,"Böhnstedt, Doreen; Scholl, Philipp; Benz, Bastian; Rensing, Christoph; Steinmetz, Ralf; Schmitz, Bernhard",2008,113.0,124.0,,113.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung eines Wissensnetzes, das als Forschungssoftware zur Unterstützung des Ressourcen-basierten Lernens dient.",1,"Die Publikation evaluiert die entwickelte Forschungssoftware durch eine Studie mit 64 Studierenden, die das Wissensnetz während einer Rechercheaufgabe nutzten.",1,"Die Publikation geht auf ein konkretes Lehr-Lern-Setting ein, nämlich das Ressourcen-basierte Lernen in der Wissensgesellschaft.",1,"Die Publikation zeigt, wie die Forschungssoftware den Lehr-Lern-Prozess vereinfacht, indem sie die Organisation und Repräsentation von Wissensartefakten unterstützt.",1,"Die Publikation misst die Effekte der Forschungssoftware auf die Lernenden, indem sie die Qualität der erstellten Wissensnetze und die Zufriedenheit der Studierenden mit der Software evaluiert.",1,"Die Publikation entwickelt neue Forschungssoftware, die spezifisch für die Unterstützung des Ressourcen-basierten Lernens konzipiert wurde.",-1,"Die Publikation verwendet keine allgemeine Bildungstechnologie, sondern entwickelt eigens eine Forschungssoftware für den spezifischen Anwendungsfall."
9,Einsatz und Evaluation eines Zielmanagement-Werkzeugs bei der selbstregulierten Internet-Recherche,"Scholl, Philipp; Benz, Bastian; Böhnstedt, Doreen; Rensing, Christoph; Steinmetz, Ralf; Schmitz, Bernhard",2008,125.0,136.0,,125.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation enthält eine Beschreibung eines Zielmanagement-Werkzeugs, das als Erweiterung des Internetbrowsers Firefox implementiert wurde. Dieses Werkzeug kann als Forschungssoftware betrachtet werden, da es spezifisch für einen Forschungszweck entwickelt wurde.",1,"Die Publikation enthält eine Evaluation des Zielmanagement-Werkzeugs, die sich auf die Wirkung des Werkzeugs auf die Lernenden konzentriert. Die Evaluation umfasst die Messung von Variablen wie Lernleistung, Motivation und emotionale Zustände.",1,"Die Publikation geht auf ein konkretes Lehr-Lern-Setting ein, nämlich die selbstgesteuerte Internet-Recherche. Das Zielmanagement-Werkzeug wird in diesem Kontext entwickelt und evaluiert.",0,"Obwohl das Zielmanagement-Werkzeug den Lehr-Lern-Prozess vereinfachen kann, liegt der Fokus der Publikation auf der Wirkung des Werkzeugs auf die Lernenden und nicht auf der Organisationserleichterung des Lehr-Lern-Settings.",1,"Die Publikation misst die Effekte des Zielmanagement-Werkzeugs auf die Lernenden, insbesondere ihre kognitive Leistung, Motivation und emotionale Zustände.",1,"Die Publikation entwickelt ein neues Zielmanagement-Werkzeug, das spezifisch für den Forschungszweck entwickelt wurde. Dieses Werkzeug erfüllt Funktionen, die so zuvor noch nicht realisierbar gewesen sind.",0,"Obwohl die Publikation digitale Technologie einsetzt, liegt der Fokus auf der Entwicklung und Evaluation eines spezifischen Zielmanagement-Werkzeugs und nicht auf der Anwendung allgemeiner Bildungstechnologie."
10,Einsatz eines webbasierten Mehrautorensystems in der Lehre - ein Erfahrungsbericht,"Hu, Bo; Gollin, Klaus",2008,137.0,148.0,,137.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt ein webbasiertes Mehrautorensystem, das für die Erstellung und Betreuung von Diplomarbeiten sowie für die Durchführung von Fallstudien eingesetzt wird. Dieses System kann als Forschungssoftware betrachtet werden, da es spezifisch für einen konkreten Forschungszweck entwickelt wurde.",1,"Die Publikation evaluiert die Forschungssoftware, indem sie die Daten, die durch die im System integrierten Logging- und Versionierungsfunktionen produziert werden, analysiert und die Ergebnisse interpretiert.",1,"Die Publikation geht auf ein konkretes Lehr-Lern-Setting ein, nämlich die Durchführung von Diplomarbeiten und Fallstudien in einem berufsbegleitenden Studium.",1,"Die Publikation zeigt, wie die Forschungssoftware den Lehr-Lern-Prozess vereinfacht, indem sie die Organisation und Gestaltung des Lehr-Lern-Settings erleichtert, etwa durch die Vereinfachung organisatorischer Abläufe und die Entlastung der Lehrenden.",0,"Die Publikation geht nicht direkt auf die Effekte der Forschungssoftware auf die Lernenden ein, sondern konzentriert sich auf die Organisation und Gestaltung des Lehr-Lern-Settings.",0,"Die Publikation beschreibt nicht die Entwicklung der Forschungssoftware selbst, sondern konzentriert sich auf ihre Anwendung und Evaluation.",1,"Die Publikation verwendet eine allgemeine Bildungstechnologie, nämlich ein webbasiertes Mehrautorensystem, das nicht eigens für einen konkreten Forschungszweck entwickelt wurde, sondern im Zuge einer gesellschaftlichen oder technologischen Entwicklung verfügbar geworden ist und nun in einem Bildungskontext angewendet wird."
