id,title,authors,year,start_page,end_page,subject,filename,editors,doi,isbn,issn,proceeding_title,series_title,publisher,publication_place,conference_date,conference_location,session_title,publication_type,language,peer_review_status,label_forschungssoftware,label_forschungssoftware_erklärung,label_software_evaluation,label_software_evaluation_erklärung,label_lehr_lern_setting,label_lehr_lern_setting_erklärung,label_prozess_paradigma,label_prozess_paradigma_erklärung,label_lernende_paradigma,label_lernende_paradigma_erklärung,label_design_paradigma,label_design_paradigma_erklärung,label_bildungstechnologie_paradigma,label_bildungstechnologie_paradigma_erklärung
1,Gibt es eine Net Generation? Widerlegung einer Mystifizierung,"Schulmeister, Rolf",2008,15.0,28.0,,15.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation enthält keine spezifische Forschungssoftware wie Quellcode, Algorithmen oder Skripte, die zu einem Forschungszweck erstellt wurden. Es handelt sich um eine theoretisch-kritische Analyse ohne Bezug zu eigener Softwareentwicklung.",0,"Da keine Forschungssoftware im Sinne der Definition verwendet oder entwickelt wird, findet auch keine Evaluation von Forschungssoftware statt.",0,"Die Publikation diskutiert zwar hochschuldidaktische Implikationen, bezieht sich aber nicht auf ein konkretes Lehr-Lern-Setting, sondern analysiert generelle Thesen zur 'Net Generation' und deren Mediennutzung.",-1,"Das prozessorientierte Paradigma (Vereinfachung von Lehr-Lern-Prozessen durch Software) wird nicht thematisiert, da keine Forschungssoftware oder technologische Unterstützung von Lehr-Lern-Prozessen im Fokus steht.",0,"Die Publikation analysiert zwar Effekte der Mediennutzung auf Jugendliche und Studierende (z.B. Nutzungsmotive, Sozialisation), aber nicht im Sinne einer systematischen Messung kognitiver, motivationaler oder affektiver Wirkungen durch Forschungssoftware oder Technologie. Der Fokus liegt auf der Kritik an Generationsmythen, nicht auf Lerneffekten.",-1,"Es wird keine neue Forschungssoftware entwickelt oder vorgestellt, daher ist das designorientierte Paradigma nicht relevant.",1,"Die Publikation diskutiert allgemeine Bildungstechnologien wie das Internet, Web 2.0 und digitale Medien im Kontext von Lehre und Lernen. Diese Technologien wurden nicht spezifisch für Forschungszwecke entwickelt, sondern sind gesellschaftlich verfügbar und werden im Bildungsbereich angewendet. Der Fokus liegt auf der kritischen Reflexion ihrer Rolle in der Hochschuldidaktik."
2,Orchestrierung von Web 2.0-Anwendungen im Kontext hochschulischer Lehr-/Lernprozesse,"Carell, Angela; Schaller, Isabel",2008,41.0,52.0,,41.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation beschäftigt sich mit der Orchestrierung bestehender Web 2.0-Anwendungen (z.B. Netvibes, WordPress, Google Docs, BibSonomy) und nicht mit der Entwicklung neuer Forschungssoftware im Sinne von Quellcode, Algorithmen oder spezifischen rechnergestützten Arbeitsabläufen für Forschungszwecke.",0,"Obwohl die Nutzung der Web 2.0-Anwendungen evaluiert wird, handelt es sich nicht um eine Evaluation von Forschungssoftware, da keine eigens entwickelte Software untersucht wird. Stattdessen wird der Einsatz bestehender Tools reflektiert.",1,"Die Publikation beschreibt ein konkretes Lehr-Lern-Setting in Form einer einwöchigen Praxiswoche im Rahmen eines berufsbegleitenden Masterstudiengangs, in dem kollaboratives Lernen durch Web 2.0-Anwendungen unterstützt wird.",1,"Die Publikation legt einen starken Fokus auf die Vereinfachung und Unterstützung des Lehr-Lern-Prozesses durch die Orchestrierung von Web 2.0-Anwendungen. Es wird beschrieben, wie technische Werkzeuge die Organisation (z.B. Dokumentation, Kommunikation, Zugänglichkeit von Ressourcen) erleichtern und die Rahmenbedingungen der Lehre verbessern.",0,"Obwohl die Effekte auf die Lernenden (z.B. Reflexion, Motivation, Partizipation) thematisiert werden, steht nicht die systematische Messung kognitiver, motivationaler oder affektiver Wirkungen im Vordergrund. Die Evaluation konzentriert sich eher auf die Nutzung der Tools und deren Auswirkungen auf den Prozess als auf direkte Lerneffekte.",-1,"Die Publikation entwickelt keine neue Forschungssoftware, sondern kombiniert bestehende Web 2.0-Anwendungen. Daher ist das designorientierte Paradigma nicht relevant.",1,"Die Publikation setzt allgemeine Bildungstechnologien (Web 2.0-Anwendungen wie Blogs, Wikis, RSS-Feeds) ein, die nicht spezifisch für Forschungszwecke entwickelt wurden, sondern im Zuge der Digitalisierung verfügbar geworden sind. Der Fokus liegt auf deren Anwendung im Bildungskontext."
3,E-Learning im Second Life – Eine Veranstaltung „IT-Projektmanagement“,"Voß, Sarah; Vuong, The-Anh; Krömker, Detlef; Müller, Ralph",2008,53.0,64.0,,53.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation erwähnt keine eigens entwickelte Forschungssoftware wie Quellcode, Algorithmen oder Skripte. Stattdessen wird eine bestehende Plattform (Second Life) genutzt, die nicht für den spezifischen Forschungszweck erstellt wurde.",1,"Die Publikation evaluiert den Einsatz von Second Life als E-Learning-Tool, indem sie die Eignung der Plattform als virtueller Lernort, die Bedienbarkeit, die Kommunikation und die Akzeptanz durch die Studierenden untersucht.",1,"Die Publikation beschreibt ein konkretes Lehr-Lern-Setting, nämlich die Veranstaltung „Einführung in das IT-Projektmanagement“ an der Johann Wolfgang Goethe-Universität, in der Second Life als Kommunikationsmedium eingesetzt wird.",1,"Die Publikation legt einen starken Fokus auf die Vereinfachung des Lehr-Lern-Prozesses durch den Einsatz von Second Life. Dies zeigt sich in der flexiblen räumlichen und zeitlichen Nutzung, der Entlastung durch virtuelle Treffen und der Verbesserung der Rahmenbedingungen für Rollenspiele und Projektbesprechungen.",1,"Die Effekte auf die Lernenden werden explizit gemessen, insbesondere in Bezug auf Anonymität, Hemmungen bei Präsentationen, Motivation und Zufriedenheit mit dem Lernsetting. Die Evaluation umfasst sowohl motivationale als auch affektive Wirkungen.",-1,"Die Publikation entwickelt keine neue Forschungssoftware, sondern nutzt eine bestehende Plattform (Second Life). Daher ist das designorientierte Paradigma nicht relevant.",1,"Second Life wird als allgemeine Bildungstechnologie eingesetzt, die nicht spezifisch für diesen Forschungszweck entwickelt wurde, sondern im Zuge der Digitalisierung von Lehr-Lern-Prozessen verfügbar ist. Die Publikation untersucht deren Anwendung in einem Bildungskontext."
4,eLearning als Teil einer serviceorientierten Hochschulinfrastruktur,"Graf, Stephan; Gergintchev, Ivan; Pätzold, Sebastian; Rathmayer, Sabine",2008,65.0,76.0,,65.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung und Integration von Schnittstellen, Diensten und Architekturen (z.B. CLIX2ERP, Enterprise Service Bus, Single Sign-On-Lösungen) zur serviceorientierten Hochschulinfrastruktur. Diese wurden explizit für die Forschungs- und Anwendungszwecke der TUM erstellt und umfassen Quellcode, Algorithmen und rechnergestützte Arbeitsabläufe.",0,"Obwohl die Publikation die Implementierung und Nutzung der Software beschreibt, wird keine systematische Evaluation der Forschungssoftware im Sinne einer Messung ihrer Effektivität oder Effizienz durchgeführt. Es werden zwar Nutzungszahlen genannt, aber keine methodische Evaluation.",1,"Die Publikation bezieht sich auf konkrete Lehr-Lern-Settings, insbesondere die Integration von eLearning in die Hochschullehre (z.B. Nutzung von CLIX Campus, Casus für fallbasiertes Lernen in der Medizin). Es werden Anwendungsfälle und Prozesse beschrieben, die direkt das Lehr-Lern-Umfeld betreffen.",1,"Die Publikation legt einen starken Fokus auf die Vereinfachung und Optimierung von Lehr-Lern-Prozessen durch die Integration von Systemen (z.B. Single Sign-On, Datenkonsistenz, automatisierte Datenübertragung). Dies dient der Entlastung der Lehrenden und der Verbesserung organisatorischer Abläufe, was dem prozessorientierten Paradigma entspricht.",0,"Obwohl die Publikation die Nutzung der Lernplattform durch Studierende erwähnt (z.B. Anmeldungen, Zugriff auf Lernmaterialien), werden keine Effekte auf die Lernenden (z.B. Wissenserwerb, Motivation) gemessen oder diskutiert. Der Fokus liegt auf der technischen und organisatorischen Integration.",1,"Die Publikation beschreibt die Entwicklung neuer Architekturen, Schnittstellen und Dienste (z.B. serviceorientierte Architektur, Enterprise Service Bus, proprietäre SSO-Lösungen), die zuvor in dieser Form nicht existierten. Damit steht die Entwicklung von Forschungssoftware im Vordergrund, was dem designorientierten Paradigma entspricht.",0,"Die Publikation nutzt zwar allgemeine Bildungstechnologien wie Learning Management Systeme (CLIX) oder Standards (CDM, IMS Enterprise), jedoch liegt der Fokus auf der Entwicklung und Anpassung von Forschungssoftware für spezifische Integrationszwecke. Daher ist das Bildungstechnologie-Paradigma implizit enthalten, aber nicht dominant."
5,Dienste-basierte Kopplung von virtueller und Präsenzlehre,"Lehsten, Philipp; Thiele, Andreas; Zilz, René; Dressler, Enrico; Zender, Raphael; Lucke, Ulrike; Tavangarian, Djamshid",2008,77.0,88.0,,77.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung eines prototypischen Systems zur Dienste-basierten Kopplung von Präsenzlehre und virtuellen Lernumgebungen (z. B. Second Life und Stud.IP). Dieses System umfasst Quellcode-Dateien, Algorithmen und Web Services, die explizit für den Forschungszweck erstellt wurden.",1,"Der Prototyp wurde im Rahmen einer Lehrveranstaltung evaluiert, um die Funktionalität und Akzeptanz der Kopplung von realer und virtueller Lehre zu testen. Die Evaluation wird im Abschnitt 4 beschrieben.",1,Die Publikation behandelt konkret die Integration von Präsenzlehre und virtuellen Lernumgebungen in einem Lehr-Lern-Setting. Dies wird durch die Beschreibung der Nutzung in einer Lehrveranstaltung und die Diskussion der Anwendungsfälle deutlich.,1,"Die Forschungssoftware zielt darauf ab, den Lehr-Lern-Prozess durch die nahtlose Verzahnung von synchronen und asynchronen Szenarien zu vereinfachen. Dies wird durch die flexible Kombination von Werkzeugen und Plattformen erreicht, was die Organisation und Gestaltung des Lehr-Lern-Settings erleichtert.",0,"Obwohl die Publikation die Akzeptanz des Systems durch Lernende erwähnt, liegt der Fokus nicht auf der Messung kognitiver, motivationaler oder affektiver Effekte auf die Lernenden. Diese Aspekte werden nur am Rande angesprochen.",1,"Die Entwicklung der Forschungssoftware steht im Vordergrund der Publikation. Es wird ein neues System (Prototyp) vorgestellt, das Funktionen erfüllt, die zuvor in dieser Form nicht realisierbar waren, insbesondere die flexible Kopplung verschiedener Lehr-Lern-Umgebungen.",0,"Die Publikation nutzt zwar allgemeine Bildungstechnologien wie Second Life und Stud.IP, der Fokus liegt jedoch auf der Entwicklung einer neuen, forschungsbasierten Softwarelösung (SOA-basierte Kopplung). Daher wird dieses Paradigma implizit adressiert, steht aber nicht im Vordergrund."
6,"Service-basierte Integration dynamischer, interaktiver Medien in Lernplattformen","Gläser, Martin; Zender, Raphael; Lucke, Ulrike; Tavangarian, Djamshid",2008,89.0,100.0,,89.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung eines prototypischen Systems zur Service-basierten Integration dynamischer, interaktiver Medien in Lernplattformen. Dieses System umfasst Quellcode-Elemente (z.B. Web Services, PlugIns für Stud.IP) und Algorithmen zur Kopplung verschiedener eLearning-Werkzeuge, was als Forschungssoftware im Sinne der Definition gilt.",0,"Obwohl die Publikation die Architektur und Umsetzung des Systems detailliert beschreibt, wird keine explizite Evaluation der Forschungssoftware im Hinblick auf Effektivität, Effizienz oder Nutzerfeedback durchgeführt. Es gibt lediglich eine konzeptionelle Bewertung der Vorteile des Ansatzes.",1,"Die Publikation behandelt konkret die Integration von Vorlesungsaufzeichnungen und Live-Übertragungen in Lernplattformen wie Stud.IP. Dies stellt ein spezifisches Lehr-Lern-Setting dar, in dem Studierende sowohl synchron als auch asynchron an Lehrveranstaltungen teilnehmen können.",1,"Die Publikation legt einen starken Fokus auf die Vereinfachung und Automatisierung organisatorischer Abläufe, wie die Produktion und Distribution von Lehrinhalten. Durch die Service-basierte Integration wird die Entlastung der Lehrenden und die Verbesserung der Rahmenbedingungen der Lehre explizit adressiert.",-1,"Es gibt keine Messung oder Diskussion der Effekte der Forschungssoftware auf die Lernenden, wie kognitive, motivationale oder affektive Wirkungen. Der Fokus liegt auf der technischen und organisatorischen Integration, nicht auf Lernerfolgen.",1,"Die Publikation steht im Zeichen der Entwicklung eines neuen Systems (Prototypen) zur Integration dynamischer Medien in Lernplattformen. Dieses System erfüllt Funktionen, die zuvor so nicht realisierbar waren, und wird detailliert in seiner Architektur und Umsetzung beschrieben.",0,"Obwohl die Publikation allgemeine Bildungstechnologien wie Lernplattformen (Stud.IP), Streaming-Server und Web Services erwähnt, liegt der Fokus auf der Entwicklung und Integration einer spezifischen Forschungssoftware. Der Einsatz allgemeiner Bildungstechnologien ist implizit enthalten, steht aber nicht im Vordergrund."
7,"Theatrum Machinarum Generale – Schauplatz der digitalen Wissensorganisation, Archivierung und Erschließung","Schulte, Jonas; Hampel, Thorsten; Gießmann, Marco;
Ferber, Ferdinand; Stark, Konrad",2008,101.0,112.0,,101.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation stellt das Wasabi-Framework vor, eine serviceorientierte Architektur, die explizit für die Integration von Forschungslaboren in digitale Bibliotheken und E-Learning-Infrastrukturen entwickelt wurde. Dies umfasst Quellcode-Elemente (z.B. Webservices, SOAP-Schnittstellen) und rechnergestützte Arbeitsabläufe zur Steuerung und Archivierung von Experimenten.",0,"Obwohl die Publikation die Architektur und Integration des Wasabi-Frameworks beschreibt, wird keine systematische Evaluation der Software im Sinne von Nutzerstudien, Leistungsmessungen oder vergleichenden Analysen durchgeführt. Es handelt sich primär um eine konzeptionelle und technische Beschreibung.",1,"Die Publikation thematisiert explizit die Integration von Forschungsergebnissen aus einem Thermoschock-Prüfstand in Lehr-Lern-Settings wie Praktika, Seminare und kooperative Wissensräume. Es wird beschrieben, wie Studierende, Forschende und Industriepartner auf die Ergebnisse zugreifen und damit arbeiten können.",1,"Die Publikation legt einen starken Fokus auf die Vereinfachung und Verbesserung der organisatorischen Abläufe in der Lehre und Forschung. Durch die serviceorientierte Architektur und die Integration in digitale Bibliotheken wird die Vernetzung von Wissen, die Archivierung von Versuchsergebnissen und die kooperative Zusammenarbeit erleichtert. Dies entlastet Lehrende und verbessert die Rahmenbedingungen der Wissensvermittlung.",0,"Obwohl die Publikation die Bereitstellung von Wissen für Lernende beschreibt, werden keine expliziten Effekte auf kognitive, motivationale oder affektive Aspekte der Lernenden gemessen oder analysiert. Der Fokus liegt auf der technischen und organisatorischen Integration, nicht auf den Lernergebnissen.",1,"Die Entwicklung des Wasabi-Frameworks und der serviceorientierten Architektur für das Thermoschock-Labor steht im Mittelpunkt der Publikation. Es wird eine neue Forschungssoftware konzipiert und umgesetzt, die zuvor nicht realisierbare Funktionen wie die Integration von Laborhardware in digitale Bibliotheken ermöglicht.",0,"Die Publikation verwendet zwar allgemeine digitale Technologien wie Webservices, SOAP und digitale Bibliotheken, jedoch steht die spezifische Entwicklung des Wasabi-Frameworks als Forschungssoftware im Vordergrund. Es handelt sich nicht um die Anwendung einer allgemeinen Bildungstechnologie, sondern um eine maßgeschneiderte Lösung."
8,Einsatz persönlicher Wissensnetze im Ressourcen-basierten Lernen,"Böhnstedt, Doreen; Scholl, Philipp; Benz, Bastian; Rensing, Christoph; Steinmetz, Ralf; Schmitz, Bernhard",2008,113.0,124.0,,113.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung und Implementierung eines Prototyps für ein 'erweiterbares Wissensnetz', das als Firefox-Extension realisiert wurde. Dieser Prototyp stellt eine Software dar, die explizit für den Forschungszweck des Ressourcen-basierten Lernens erstellt wurde.",1,Die Publikation enthält eine Evaluation des entwickelten Prototyps mit 64 Studierenden. Die Evaluation untersucht die Nutzung und die Effekte des Wissensnetz-Werkzeugs auf den Rechercheprozess und den Wissenserwerb.,1,"Die Publikation bezieht sich auf ein konkretes Lehr-Lern-Setting, in dem Studierende der Psychologie eine Rechercheaufgabe in Wikipedia durchführen. Das Setting ist explizit auf das Lernen und die Wissensorganisation ausgerichtet.",1,"Die Forschungssoftware zielt darauf ab, den Lehr-Lern-Prozess zu vereinfachen, indem sie die Organisation und Repräsentation von Wissensartefakten unterstützt. Dies erleichtert die strukturelle und konzeptuelle Orientierung der Lernenden und reduziert die kognitive Mehrbelastung.",1,"Die Evaluation misst explizit die Effekte der Software auf die Lernenden, insbesondere den Wissenserwerb (durch einen Wissenstest) und die Zufriedenheit mit dem Werkzeug. Die Ergebnisse zeigen, wie die Lernenden die Software nutzen und bewerten.",1,"Im Vordergrund der Publikation steht die Entwicklung eines neuen Werkzeugs (Wissensnetz-Prototyp), das spezifische Funktionen für das Ressourcen-basierte Lernen bereitstellt. Die technische Konzeption und Implementierung des Wissensnetzes werden detailliert beschrieben.",0,"Obwohl allgemeine Bildungstechnologien wie Webbrowser oder Wikipedia als Wissensquelle genutzt werden, liegt der Fokus der Publikation auf der neu entwickelten Forschungssoftware. Der Einsatz allgemeiner Technologien ist vorhanden, aber nicht der Hauptgegenstand der Untersuchung."
9,Einsatz und Evaluation eines Zielmanagement-Werkzeugs bei der selbstregulierten Internet-Recherche,"Scholl, Philipp; Benz, Bastian; Böhnstedt, Doreen; Rensing, Christoph; Steinmetz, Ralf; Schmitz, Bernhard",2008,125.0,136.0,,125.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung und Implementierung eines Zielmanagement-Werkzeugs als Firefox-Erweiterung, das speziell für den Forschungszweck der Unterstützung selbstregulierten Lernens bei Internet-Recherchen erstellt wurde. Es handelt sich um Quellcode, Algorithmen und ausführbare Software, die explizit für diesen Kontext entwickelt wurde.",1,"Die Publikation stellt eine Evaluationsstudie vor, in der das entwickelte Zielmanagement-Werkzeug mit anderen Methoden (z. B. Nutzung von Firefox-Bordmitteln) verglichen wird. Die Evaluation umfasst Leistungsdaten, emotionale und motivationale Effekte sowie Nutzungsverhalten der Lernenden.",1,"Die Publikation bezieht sich auf ein konkretes Lehr-Lern-Setting, in dem Studierende eine Internet-Recherche zu einem vorgegebenen Thema (Klassische Antike) durchführen. Das Setting ist klar definiert und umfasst Prä- und Posttests, Lernphasen sowie die Nutzung spezifischer Werkzeuge zur Unterstützung des Lernprozesses.",0,"Obwohl das Werkzeug die Organisation des Lernprozesses (z. B. Zielsetzung, Planung, Überwachung) unterstützt, steht die Vereinfachung organisatorischer Abläufe nicht im expliziten Fokus der Evaluation. Die Wirkung auf den Lernprozess wird eher mittelbar durch die Unterstützung metakognitiver Prozesse betrachtet, ohne dass die Erleichterung der Lehr-Lern-Organisation als primäres Ziel genannt wird.",1,"Die Evaluation konzentriert sich explizit auf die Effekte des Werkzeugs auf die Lernenden. Dies umfasst motivationale (z. B. Selbstwirksamkeit, Motivation), affektive (z. B. Emotionen gemessen mit PANAS) und kognitive Aspekte (z. B. Navigationsverhalten, Nutzung von Ressourcen). Die Messung dieser Effekte steht im Vordergrund der Studie.",1,"Die Publikation legt einen starken Fokus auf die Entwicklung des Zielmanagement-Werkzeugs. Es wird detailliert beschrieben, wie das Werkzeug konzipiert, implementiert und technisch umgesetzt wurde. Die Entwicklung neuer Funktionalitäten (z. B. Zielhierarchien, Wissensnetze) steht im Mittelpunkt und erfüllt zuvor nicht realisierte Unterstützungsmöglichkeiten für selbstreguliertes Lernen.",0,"Obwohl allgemeine Technologien wie der Firefox-Browser oder Wikipedia als Grundlage genutzt werden, steht nicht deren Anwendung im Vordergrund. Stattdessen wird eine spezifische Forschungssoftware (das Zielmanagement-Werkzeug) entwickelt und evaluiert. Der Einsatz allgemeiner Bildungstechnologien ist hier nur ein Mittel zum Zweck und kein zentrales Paradigma."
10,Einsatz eines webbasierten Mehrautorensystems in der Lehre - ein Erfahrungsbericht,"Hu, Bo; Gollin, Klaus",2008,137.0,148.0,,137.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt ein webbasiertes Mehrautorensystem (Collaborative Authoring System, CAS), das speziell für die Unterstützung von Lehr-Lern-Prozessen entwickelt wurde. Es handelt sich um ein XML- und webbasiertes System mit Funktionen wie Versionierung, Logging, Kommentierung und Literaturverwaltung, das explizit für Forschungs- und Lehrzwecke eingesetzt wird.",1,"Die Nutzung des Mehrautorensystems wird anhand von Logging- und Versionierungsdaten evaluiert. Es werden Nutzungsintensität, Arbeitsverteilung innerhalb der Gruppen und Verbesserungspotentiale analysiert. Zudem wird die Akzeptanz des Systems bei Studierenden und Lehrenden untersucht.",1,"Die Publikation beschreibt den Einsatz des Mehrautorensystems in einem konkreten Lehr-Lern-Setting, nämlich bei der Erstellung von Diplomarbeiten und der Durchführung von Fallstudien an der FOM. Es wird detailliert auf die Nutzung durch Studierende und die Betreuung durch Lehrende eingegangen.",1,"Der Fokus liegt auf der Vereinfachung des Lehr-Lern-Prozesses durch das Mehrautorensystem. Dies umfasst die Organisation und Gestaltung der Zusammenarbeit (z.B. durch Versionierung, Kommentarfunktionen), die Entlastung der Lehrenden (z.B. durch zeitnahes Feedback) und die Verbesserung der Rahmenbedingungen (z.B. durch Plagiatsbekämpfung). Die Wirkung auf den Lernerfolg wird mittelbar über diese Organisationserleichterungen betrachtet.",0,"Obwohl die Publikation die Nutzung des Systems durch Studierende analysiert, liegt der Schwerpunkt nicht auf der Messung kognitiver, motivationaler oder affektiver Effekte auf die Lernenden. Es werden zwar Nutzungsdaten erhoben, aber keine direkten Lernerfolge oder motivationale Aspekte evaluiert. Daher wird dieses Paradigma als implizit oder geringfügig vorhanden annotiert.",1,"Die Entwicklung des Mehrautorensystems steht im Vordergrund. Das System wurde weiterentwickelt und um spezifische Funktionen (z.B. Versionierung, Kommentierung, Literaturverwaltung) erweitert, die zuvor in dieser Form nicht realisierbar waren. Die Publikation beschreibt die technischen und funktionalen Aspekte des Systems detailliert.",0,"Das Mehrautorensystem ist eine spezifisch für den Forschungs- und Lehrkontext entwickelte Software und keine allgemeine Bildungstechnologie. Allerdings wird die Nutzung von Microsoft Word und OpenOffice als ergänzende Technologien erwähnt, was auf eine geringe Einbindung allgemeiner Bildungstechnologien hindeutet. Daher wird dieses Paradigma als implizit annotiert."
