paper_id,title,year,filename,label_column,mistral_label,llama_label,gemma_label,human_label,human_justification,timestamp
62,Twitterwalls zur Konferenzunterstützung,2011,79.pdf,label_lernende_paradigma_agg,-1,0,1,-1,"Die Twitterwall addressiert kein Lehr-Lernszenario, sondern Konferenzunterstützung. ",2026-03-26T19:58:44.957068
80,Automatic categorization of lecture videos: using statistical log file analysis to enhance tele-teaching metadata,2012,51.pdf,label_design_paradigma_agg,1,0,-1,-1,The consensus was that statistical analysis alone does not qualify as research software development. In any case this is not a case of innovative RS that fulfulls new functions but an application of existing techniques. ,2026-03-26T19:58:44.958108
80,Automatic categorization of lecture videos: using statistical log file analysis to enhance tele-teaching metadata,2012,51.pdf,label_lernende_paradigma_agg,-1,1,0,0,This falls into a rare paradigm that deals with educational data. The effect of which is indirect on this paradigm. A good annotation of educational data and automated data enhancement can increase efficiency of both learning and the system as a whole. ,2026-03-26T19:58:44.959091
90,Die (technischen) Potenziale digitaler Tafeln,2012,171.pdf,label_design_paradigma_agg,1,0,-1,-1,There is no RS design here. It should be noted that this would fill the role of educational dasign based research. ,2026-03-26T19:58:44.960089
161,Vergleich von Technologien zur Entwicklung barrierefreier mobiler Lernapplikationen,2019,DELFI2019_247_Vergleich_von_Technologien_zur_Entwicklung_barrierefreier_mobiler_Lernapplikationen.pdf,label_design_paradigma_agg,0,1,-1,-1,There is not a new RS being created. The study does support design decisions when thinking of Barrierefreiheit. There is a paradigm missing that would zoom in on a single design decision or comparing technologies. ,2026-03-26T19:58:44.961100
176,Wirkung von interaktiven 3D-360°-Lernvideos in der praktischen Ausbildung von Handwerkern,2019,DELFI2019_298_Wirkung_von_interaktiven_3D-360-Lernvideos_in_der_praktischen_Ausbildung_von_Handwerkern.pdf,label_design_paradigma_agg,1,0,-1,-1,This is  classical hypothesis-driven paper that does not implement a new RS. ,2026-03-26T19:58:44.962529
178,Förderung der Lernmotivation durch adaptives E-Learning: Komparative Evaluation von Techniken zur adaptiven Nutzerführung,2019,DELFI2019_255_Foerderung_der_Lernmotivation_durch_adaptives_E-Learning_-_Komparative_Evaluation_von_Techniken_zur_adaptiven_Nutzer_.pdf,label_bildungstechnologie_paradigma_agg,0,-1,1,1,"Yes, adaptive learn content as a technological principle is analzed without reinventing it. ",2026-03-26T19:58:44.963592
190,"How Are You, Chatbot? Evaluating Chatbots in Educational Settings – Results of a Literature Review",2019,DELFI2019_289_How_Are_You__Chatbot_-_Evaluating_Chatbots_in_Educational_Settings_-_Results_of_a_Literature_Review.pdf,label_design_paradigma_agg,1,0,-1,-1,The agents are not invented but looked at as a trend (Bildungstechnologie paradigm),2026-03-26T19:58:44.965257
212,Kompetenzmodellierung für die grundlegende Programmierausbildung - Eine kritische Diskussion zu Vorzügen und Anwendbarkeit der Anderson Krathwohl Taxonomie im Vergleich zum Kompetenzmodell der GI,2020,187 DELFI2020_paper_44.pdf,label_design_paradigma_agg,1,-1,0,-1,"No, this is the prototype for empirical studies, only. ",2026-03-26T19:58:44.966938
225,Is the context-based Word2Vec representation useful to determine Question Words for Generators?,2020,289 DELFI2020_paper_14.pdf,label_bildungstechnologie_paradigma_agg,0,-1,1,0,"Es ist keine allgemein verfügbare Technologie, sondern ein Algorithmus, der für die BT angepasst wurde, aber nicht spezifisch dafür entwickelt. Diese steht aber nicht im Vordergrund. ",2026-03-26T19:58:44.967819
240,360-Grad- und Virtual Reality-Anwendungen im Fremdsprachenunterricht: Praxiserfahrungen aus einem multimodalen Masterseminar im hybriden Lehrformat (Fremdsprachendidaktik Französisch/Spanisch),2021,DELFI_2021_85-90.pdf,label_design_paradigma_agg,1,-1,0,-1,"Es gibt keine neuentwickelte Forschungssoftware, sondern bestehende Technologien werden empirisch eingesetzt und analysiert.",2026-03-26T19:58:44.968999
