id,title,authors,year,start_page,end_page,subject,filename,editors,doi,isbn,issn,proceeding_title,series_title,publisher,publication_place,conference_date,conference_location,session_title,publication_type,language,peer_review_status,mistral_label_prozess_paradigma_agg,mistral_label_lernende_paradigma_agg,mistral_label_design_paradigma_agg,mistral_label_bildungstechnologie_paradigma_agg,llama_label_prozess_paradigma_agg,llama_label_lernende_paradigma_agg,llama_label_design_paradigma_agg,llama_label_bildungstechnologie_paradigma_agg,gemma_label_prozess_paradigma_agg,gemma_label_lernende_paradigma_agg,gemma_label_design_paradigma_agg,gemma_label_bildungstechnologie_paradigma_agg
62,Twitterwalls zur Konferenzunterstützung,"Ziebarth, Sabrina; Engler, Jan; Hoppe, H. Ulrich",2011,79.0,90.0,,79.pdf,"Rohland, Holger; Kienle, Andrea; Friedrich, Steffen",,978-3-88579-282-6,1617-5468,DeLFI 2011 – Die 9. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-188",Gesellschaft für Informatik e.V.,Bonn,5.-8. September 2011,Dresden,Regular Research Papers,Text/Conference Paper,de,,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
80,Automatic categorization of lecture videos: using statistical log file analysis to enhance tele-teaching metadata,"Grünewald, Franka; Siebert, Maria; Schulze, Alexander; Meine, Christoph",2012,51.0,62.0,,51.pdf,"Desel, Jörg; Haake, Jörg M.; Spannagel, Christian",,978-3-88579-601-5,1617-5468,DeLFI 2012: Die 10. e-Learning Fachtagung Informatik der Gesellschaft für Informatik e.V.,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-207",Gesellschaft für Informatik e.V.,Bonn,24.-26 September 2012,Hagen,Regular Research Papers,Text/Conference Paper,en,,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0
90,Die (technischen) Potenziale digitaler Tafeln,"Selke, Harald; Winkelnkemper, Felix",2012,171.0,182.0,,171.pdf,"Desel, Jörg; Haake, Jörg M.; Spannagel, Christian",,978-3-88579-601-5,1617-5468,DeLFI 2012: Die 10. e-Learning Fachtagung Informatik der Gesellschaft für Informatik e.V.,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-207",Gesellschaft für Informatik e.V.,Bonn,24.-26 September 2012,Hagen,Regular Research Papers,Text/Conference Paper,de,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0
161,Vergleich von Technologien zur Entwicklung barrierefreier mobiler Lernapplikationen,"Keus, Alexandra; Noichl, Svenja; Schroeder, Ulrik ",2019,15.0,20.0,"Barrierefreiheit, Cross-Plattform-App, Native Android App, Web-App, Lernapplikation",DELFI2019_247_Vergleich_von_Technologien_zur_Entwicklung_barrierefreier_mobiler_Lernapplikationen.pdf,"Pinkwart, Niels; Konert, Johannes",10.18420/delfi2019_247,978-3-88579-691-6,1617-5468,DELFI 2019,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-297",Gesellschaft für Informatik e.V.,Bonn,16.-19. September 2019,"Berlin, Germany",Inklusion,Text/Conference Paper ,de,,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0
176,Wirkung von interaktiven 3D-360°-Lernvideos in der praktischen Ausbildung von Handwerkern,"Klingauf, Anna; Funk, Johannes; Lüüs, Angela; Schmidt, Ludger ",2019,145.0,156.0,"Virtual Reality, Augmented Reality, 3D‑360°-Video, Blicksteuerung, Handwerk",DELFI2019_298_Wirkung_von_interaktiven_3D-360-Lernvideos_in_der_praktischen_Ausbildung_von_Handwerkern.pdf,"Pinkwart, Niels; Konert, Johannes",10.18420/delfi2019_298,978-3-88579-691-6,1617-5468,DELFI 2019,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-297",Gesellschaft für Informatik e.V.,Bonn,16.-19. September 2019,"Berlin, Germany",VR/AR/3D,Text/Conference Paper ,de,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,1.0
178,Förderung der Lernmotivation durch adaptives E-Learning: Komparative Evaluation von Techniken zur adaptiven Nutzerführung,"Bauer, Mathias; Schuldt, Jacqueline; Krömker, Heidi; Bau, Beatrix; Webers, Marie Jeanne ",2019,163.0,174.0,"Adaptive Nutzerführung, E-Learning, Logfile-Analyse, Lernmotivation",DELFI2019_255_Foerderung_der_Lernmotivation_durch_adaptives_E-Learning_-_Komparative_Evaluation_von_Techniken_zur_adaptiven_Nutzer_.pdf,"Pinkwart, Niels; Konert, Johannes",10.18420/delfi2019_255,978-3-88579-691-6,1617-5468,DELFI 2019,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-297",Gesellschaft für Informatik e.V.,Bonn,16.-19. September 2019,"Berlin, Germany",Adaptation,Text/Conference Paper ,de,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,1.0
190,"How Are You, Chatbot? Evaluating Chatbots in Educational Settings – Results of a Literature Review","Hobert, Sebastian ",2019,259.0,270.0,"chatbots, pedagogical conversational agents, technology-enhanced learning, evaluation",DELFI2019_289_How_Are_You__Chatbot_-_Evaluating_Chatbots_in_Educational_Settings_-_Results_of_a_Literature_Review.pdf,"Pinkwart, Niels; Konert, Johannes",10.18420/delfi2019_289,978-3-88579-691-6,1617-5468,DELFI 2019,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-297",Gesellschaft für Informatik e.V.,Bonn,16.-19. September 2019,"Berlin, Germany",Interaktives Lernen,Text/Conference Paper ,en,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,1.0
212,Kompetenzmodellierung für die grundlegende Programmierausbildung - Eine kritische Diskussion zu Vorzügen und Anwendbarkeit der Anderson Krathwohl Taxonomie im Vergleich zum Kompetenzmodell der GI,"Kiesler, Natalie",2020,187.0,192.0,"Programmierkompetenz, Wissensdimensionen, kognitive Prozessdimensionen",187 DELFI2020_paper_44.pdf,"Zender, Raphael; Ifenthaler, Dirk; Leonhardt, Thiemo; Schumacher, Clara",,978-3-88579-702-9,1617-5468,DELFI 2020 – Die 18. Fachtagung Bildungstechnologien der Gesellschaft für Informatik e.V.,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-308",Gesellschaft für Informatik e.V.,Bonn,14.-18. September 2020,Online,,Text/Conference Paper,de,,0.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0
225,Is the context-based Word2Vec representation useful to determine Question Words for Generators?,"Rüdian, Sylvio; Pinkwart, Niels",2020,289.0,294.0,"Question generation, question words, online courses",289 DELFI2020_paper_14.pdf,"Zender, Raphael; Ifenthaler, Dirk; Leonhardt, Thiemo; Schumacher, Clara",,978-3-88579-702-9,1617-5468,DELFI 2020 – Die 18. Fachtagung Bildungstechnologien der Gesellschaft für Informatik e.V.,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-308",Gesellschaft für Informatik e.V.,Bonn,14.-18. September 2020,Online,,Text/Conference Paper,en,,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0
240,360-Grad- und Virtual Reality-Anwendungen im Fremdsprachenunterricht: Praxiserfahrungen aus einem multimodalen Masterseminar im hybriden Lehrformat (Fremdsprachendidaktik Französisch/Spanisch),"Nowotny, Florian; Plötner, Kathleen; Steinke, Leena, 0000-0002-4693-9414",2021,85.0,90.0,"Fremdsprachendidaktik, Virtual Reality, 360-Grad, Interaktion, Design Thinking",DELFI_2021_85-90.pdf,"Kienle, Andrea; Harrer, Andreas; Haake, Joerg M.; Lingnau, Andreas",,978-3-88579-710-4,1617-5468,DELFI 2021,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-316",Gesellschaft für Informatik e.V.,Bonn,13.-15. September 2021,Online,Lernen & Lehren in Virtueller Realität,Text/Conference Paper,de,,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0
